fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
binary,top90,13,20,7,3.204000,68.59,4.640098,31.210796,1356.869271,572.467279
binary,top90,13,20,8,2.776000,69.67,4.624445,30.999209,1363.014019,569.478264
binary,top90,13,20,9,2.612000,70.34,4.708898,30.977131,1368.094064,567.512303
binary,top90,13,20,10,2.376000,70.91,4.695450,31.026969,1375.056758,567.820635
binary,top90,13,20,11,1.944000,72.73,4.695150,30.977324,1378.653256,565.162321
binary,top90,13,20,12,1.728000,74.40,4.701034,30.595482,1387.822079,565.000272
binary,top90,13,20,13,1.568000,75.31,4.763753,30.971960,1391.002373,564.801144
binary,top90,13,20,14,1.176000,77.07,4.745444,31.266847,1395.696207,565.183881
binary,top90,13,20,15,1.196000,76.26,4.756824,31.339111,1400.543776,564.228989
binary,top90,13,20,16,1.024000,76.97,4.756028,31.322325,1401.263597,564.627785
binary,top90,13,20,17,0.980000,76.87,4.746085,31.127494,1405.242906,562.193402
binary,top90,13,20,18,0.916000,76.78,4.754723,31.109028,1406.872905,562.171974
binary,top90,13,20,19,0.932000,76.94,4.725401,31.361629,1408.060517,563.569843
binary,top90,13,20,20,0.856000,77.23,4.755335,31.465581,1410.460809,563.615106
binary,top90,13,20,21,0.812000,78.20,4.759522,31.438933,1412.187152,559.941656
binary,top90,13,20,22,0.708000,78.33,4.802460,31.369074,1413.425474,560.194834
binary,top90,13,20,23,0.720000,78.30,4.810547,31.460484,1414.397278,559.657313
binary,top90,13,20,24,0.724000,78.54,4.796502,31.435514,1415.973624,561.498287
binary,top90,13,20,25,0.684000,78.57,4.782557,31.530395,1416.513125,561.038742
binary,top90,13,20,26,0.700000,78.71,4.782201,31.509960,1416.312603,561.399091
margin,top30,3,5,1,4.121054,46.78,4.704332,32.765287,1261.684594,617.219775
margin,top30,3,5,2,3.085511,51.64,4.693560,31.167233,1307.372218,585.405154
margin,top30,3,5,3,2.915442,53.24,4.675206,31.551740,1319.496669,583.517612
margin,top30,3,5,4,2.447993,55.53,4.683846,31.264078,1329.767184,579.059729
margin,top30,3,5,5,2.015344,60.08,4.708394,30.855673,1340.953239,575.496711
margin,top30,3,5,6,1.666157,65.69,4.766038,30.716123,1347.365197,573.638264
margin,top30,3,5,7,1.510078,66.85,4.747666,30.412526,1357.178937,572.317515
margin,top30,3,5,8,1.198349,69.33,4.707358,30.268925,1362.007117,570.397851
margin,top30,3,5,9,1.029426,69.96,4.703980,30.080303,1365.142728,568.300976
margin,top30,3,5,10,0.973361,70.11,4.675915,29.897913,1370.852415,566.683712
margin,top30,3,5,11,0.839504,70.58,4.721481,30.195904,1374.034564,566.827453
margin,top30,3,5,12,0.809334,73.37,4.718568,30.160058,1378.454001,567.004441
margin,top30,3,5,13,0.776717,72.41,4.732655,30.208705,1380.830705,566.927296
margin,top30,3,5,14,0.681114,73.59,4.683803,29.985392,1382.410841,565.045145
margin,top30,3,5,15,0.667069,73.22,4.718164,30.369863,1383.807875,564.024801
margin,top30,3,5,16,0.598918,73.93,4.690993,30.327599,1386.503130,564.446223
margin,top30,7,10,1,9.993807,46.78,4.704332,32.765287,1261.684594,617.219775
margin,top30,7,10,2,8.311213,51.61,4.616327,31.140099,1307.306155,585.527876
margin,top30,7,10,3,7.662219,56.35,4.561465,31.365944,1320.360428,582.693456
margin,top30,7,10,4,7.030963,55.76,4.566283,30.997956,1331.872110,578.227269
margin,top30,7,10,5,5.950949,61.19,4.540636,30.814005,1342.110360,575.872035
margin,top30,7,10,6,5.027586,63.58,4.557858,30.532371,1347.710527,574.040533
