net,optimizer,min_max_ut,rep,seed,size_gen,n_decision_rules,mode,stop_generation,best_fitness,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_per_gen,cpu_total
nhlv1,emna,True,2,44,50,7,utility_only,24,0.0,91.04477611940298,79.19402985074628,0.0,28.02314087700997,19.431640625,466.359375
nhlv1,emna,True,3,45,50,7,utility_only,17,0.0,88.05970149253731,68.26865671641792,0.0,29.676986537434928,20.73805147058824,352.546875
nhlv1,emna,True,4,46,50,7,utility_only,10,0.0,94.02985074626866,72.71641791044776,0.0,30.172860083051773,19.175,191.75
nhlv1,emna,True,5,47,50,7,utility_only,14,0.0,98.50746268656717,78.05970149253731,0.0,27.5928082362072,19.427455357142858,271.984375
nhlv1,emna,True,6,48,50,7,utility_only,4,0.0,83.5820895522388,65.43283582089553,0.0,26.83736682836132,13.81640625,55.265625
nhlv1,emna,True,7,49,50,7,utility_only,13,0.0,91.04477611940298,77.19402985074626,0.0,31.78324789761991,13.848557692307692,180.03125
nhlv1,emna,True,8,50,50,7,utility_only,43,0.0,95.52238805970148,87.4328358208955,0.0,27.421542010126547,18.85501453488372,810.765625
nhlv1,emna,True,9,51,50,7,utility_only,24,0.0,97.01492537313432,89.85074626865669,0.0,32.24754509528314,18.84309895833333,452.234375
nhlv1,emna,False,0,42,50,7,utility_only,17,0.0,98.50746268656717,76.98507462686567,0.0,28.75721178096993,21.98529411764705,373.75
nhlv1,emna,False,1,43,50,7,utility_only,17,0.0,95.52238805970148,75.82089552238807,0.0,33.69974697824897,20.17371323529412,342.953125
nhlv1,emna,False,2,44,50,7,utility_only,20,0.0,86.56716417910447,70.80597014925372,0.0,31.49294222018549,19.92109375,398.421875
nhlv1,emna,False,3,45,50,7,utility_only,25,0.0,88.05970149253731,65.64179104477611,0.0,30.24510884078068,19.506875,487.671875
nhlv1,emna,False,4,46,50,7,utility_only,19,0.0,94.02985074626866,79.88059701492537,0.0,29.621214657239666,18.70394736842105,355.375
nhlv1,emna,False,5,47,50,7,utility_only,21,0.0,82.08955223880598,66.11940298507461,0.0,30.46669549041109,18.641369047619047,391.46875
nhlv1,emna,False,6,48,50,7,utility_only,18,0.0,91.04477611940298,77.31343283582089,0.0,28.85708063854035,18.57638888888889,334.375
nhlv1,emna,False,7,49,50,7,utility_only,22,0.0,85.07462686567165,76.26865671641792,0.0,30.59684719933911,18.587357954545453,408.921875
nhlv1,emna,False,8,50,50,7,utility_only,41,0.0,97.01492537313432,92.0597014925373,0.0,33.00780742260112,18.68864329268293,766.234375
nhlv1,emna,False,9,51,50,7,utility_only,34,0.0,94.02985074626866,84.50746268656717,0.0,29.815859775797108,18.717830882352946,636.40625
nhlv1,keda,True,0,42,400,7,utility_only,11,0.0,98.50746268656717,85.57462686567163,0.0,29.04060676114526,150.03977272727272,1650.4375
nhlv1,keda,True,1,43,400,7,utility_only,10,0.0,98.50746268656717,84.07089552238806,0.0,28.51291615107914,152.6359375,1526.359375
nhlv1,keda,True,2,44,400,7,utility_only,15,0.0,100.0,89.94029850746269,0.0,28.74161078604588,150.74895833333332,2261.234375
