fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,fitness,accuracy,mse
binary,top90,2,10,13,0.118000,58.00,19.656102
binary,top90,2,10,14,0.124000,58.14,19.937092
binary,top90,2,10,15,0.088000,58.60,20.080186
binary,top90,4,20,1,2.112000,49.16,23.032245
binary,top90,4,20,2,1.962000,50.82,21.651786
binary,top90,4,20,3,1.832000,51.37,21.757405
binary,top90,4,20,4,1.678000,52.54,21.451635
binary,top90,4,20,5,1.534000,54.08,21.835725
binary,top90,4,20,6,1.358000,56.05,21.757725
binary,top90,4,20,7,1.134000,57.41,21.316860
binary,top90,4,20,8,0.878000,59.08,21.352603
binary,top90,4,20,9,0.752000,61.34,21.074509
binary,top90,4,20,10,0.492000,64.21,21.363239
binary,top90,4,20,11,0.440000,63.29,20.905804
binary,top90,4,20,12,0.326000,63.46,20.767492
binary,top90,4,20,13,0.272000,64.07,21.230536
binary,top90,4,20,14,0.204000,64.63,21.697270
binary,top90,4,20,15,0.144000,64.94,21.330516
binary,top90,4,20,16,0.136000,65.40,21.638533
binary,top90,4,20,17,0.142000,65.37,21.393388
binary,top90,4,20,18,0.108000,66.06,21.272668
binary,top90,4,20,19,0.108000,66.22,21.135899
binary,top90,4,20,20,0.098000,66.23,21.236538
binary,top90,4,20,21,0.088000,66.14,21.374484
binary,top90,6,30,1,2.916000,50.59,22.610397
binary,top90,6,30,2,2.740000,51.01,21.347588
binary,top90,6,30,3,2.708000,51.90,21.668938
binary,top90,6,30,4,2.460000,53.32,21.768748
binary,top90,6,30,5,2.252000,55.62,21.888841
binary,top90,6,30,6,2.078000,56.06,21.934812
binary,top90,6,30,7,1.786000,58.86,22.913094
binary,top90,6,30,8,1.394000,60.37,22.567627
binary,top90,6,30,9,1.300000,61.35,23.064588
binary,top90,6,30,10,1.108000,62.87,23.075556
binary,top90,6,30,11,0.958000,63.64,23.569113
binary,top90,6,30,12,0.770000,64.84,22.369679
binary,top90,6,30,13,0.528000,67.15,22.903647
binary,top90,6,30,14,0.368000,68.10,22.270609
binary,top90,6,30,15,0.312000,67.95,22.868712
binary,top90,6,30,16,0.240000,69.25,22.824088
binary,top90,6,30,17,0.198000,69.55,22.584788
binary,top90,6,30,18,0.190000,69.88,22.711173
binary,top90,6,30,19,0.156000,69.49,22.720037
binary,top90,6,30,20,0.140000,69.75,22.989243
binary,top90,6,30,21,0.110000,69.44,23.055093
binary,top90,8,40,1,4.068000,49.69,22.706723
binary,top90,8,40,2,3.786000,51.41,20.763473
binary,top90,8,40,3,3.756000,51.42,20.237375
binary,top90,8,40,4,3.508000,53.59,20.640478
binary,top90,8,40,5,3.198000,55.68,19.907193
binary,top90,8,40,6,2.928000,57.97,18.923272
binary,top90,8,40,7,2.712000,59.80,18.665829
binary,top90,8,40,8,2.370000,61.40,19.015286
binary,top90,8,40,9,2.120000,63.84,19.015070
binary,top90,8,40,10,1.742000,65.78,18.937135
binary,top90,8,40,11,1.448000,68.27,19.287185
binary,top90,8,40,12,1.234000,69.19,19.152377
binary,top90,8,40,13,1.024000,72.00,19.347195
binary,top90,8,40,14,0.678000,75.24,19.252436
binary,top90,8,40,15,0.492000,76.59,19.206928
binary,top90,8,40,16,0.416000,76.94,19.149056
binary,top90,8,40,17,0.386000,77.93,18.895966
binary,top90,8,40,18,0.256000,78.98,18.871321
binary,top90,8,40,19,0.196000,79.41,18.757372
binary,top90,8,40,20,0.142000,79.97,18.540121
binary,top90,8,40,21,0.166000,80.06,18.758113
binary,top90,8,40,22,0.136000,80.28,18.751954
binary,top90,8,40,23,0.146000,80.43,18.598204
margin,top10,1,5,1,1.964788,50.54,22.607842
margin,top10,2,10,1,3.808207,49.18,22.510747
margin,top10,2,10,2,3.548568,50.65,21.262374
margin,top10,2,10,3,3.320917,50.70,21.198206
margin,top10,4,20,1,7.477195,49.91,23.027966
margin,top10,4,20,2,6.485839,51.44,21.412960
margin,top10,4,20,3,5.880217,51.96,21.121284
margin,top10,4,20,4,5.276960,53.48,20.916608
margin,top10,4,20,5,4.568952,54.67,21.176905
margin,top10,4,20,6,4.263990,55.13,21.157758
margin,top10,4,20,7,4.239073,56.00,20.823787
margin,top10,4,20,8,3.790137,56.75,20.721398
margin,top10,4,20,9,3.677049,57.71,20.835142
margin,top10,6,30,1,11.775222,51.00,22.886895
margin,top10,6,30,2,10.120165,50.50,21.091449
margin,top10,6,30,3,9.120321,52.55,21.217642
margin,top10,6,30,4,8.556540,54.09,21.032366
