mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,softmax,top50,1,5,6,0.634767,57.62,1.901179,22.057250,3.030847,40.507615
both,non_symmetric,1.0,1.0,softmax,top50,2,10,1,3.085418,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,softmax,top50,2,10,2,2.197060,51.30,1.630999,19.373812,8.933944,37.141494
both,non_symmetric,1.0,1.0,softmax,top50,2,10,3,2.049116,52.56,1.713992,20.105221,6.746488,38.067395
both,non_symmetric,1.0,1.0,softmax,top50,2,10,4,1.968035,53.95,1.804774,20.968786,4.897209,39.165625
both,non_symmetric,1.0,1.0,softmax,top50,2,10,5,1.753952,56.34,1.847963,21.658839,3.612787,39.997629
both,non_symmetric,1.0,1.0,softmax,top50,2,10,6,1.665540,58.90,1.912359,22.118442,2.812421,40.502314
both,non_symmetric,1.0,1.0,softmax,top50,2,10,7,1.632179,62.42,1.906395,22.124204,2.197583,40.945028
both,non_symmetric,1.0,1.0,softmax,top50,2,10,8,1.417365,67.83,1.934948,22.348244,1.789733,41.286472
both,non_symmetric,1.0,1.0,softmax,top50,2,10,9,1.261477,71.84,1.934520,22.537823,1.470921,41.457710
both,non_symmetric,1.0,1.0,softmax,top50,2,10,10,1.231633,75.72,1.954998,22.527719,1.259688,41.858445
both,non_symmetric,1.0,1.0,softmax,top50,2,10,11,1.121463,78.76,1.972036,22.549432,1.122346,41.953747
both,non_symmetric,1.0,1.0,softmax,top50,2,10,12,1.113487,81.30,1.985458,22.569858,0.999081,42.115273
both,non_symmetric,1.0,1.0,softmax,top50,2,10,13,1.116910,81.60,1.990241,22.619329,0.978294,42.138617
both,non_symmetric,1.0,1.0,softmax,top50,2,10,14,1.102077,81.71,1.986798,22.638397,0.957544,42.167947
both,non_symmetric,1.0,1.0,softmax,top50,4,20,1,6.118241,50.01,1.507400,18.993726,11.568111,37.116684
both,non_symmetric,1.0,1.0,softmax,top50,4,20,2,4.657162,52.62,1.643175,19.193127,8.993011,37.439807
both,non_symmetric,1.0,1.0,softmax,top50,4,20,3,4.609842,53.50,1.740451,20.165832,6.730280,38.445967
both,non_symmetric,1.0,1.0,softmax,top50,4,20,4,4.331040,55.08,1.828197,20.998507,4.993934,39.163336
both,non_symmetric,1.0,1.0,softmax,top50,4,20,5,4.300636,58.22,1.870424,21.704969,3.621857,39.894623
both,non_symmetric,1.0,1.0,softmax,top50,4,20,6,4.228897,61.76,1.905441,22.237493,2.612724,40.124214
both,non_symmetric,1.0,1.0,softmax,top50,4,20,7,3.979187,66.96,1.939525,22.322343,1.847960,40.701335
both,non_symmetric,1.0,1.0,softmax,top50,4,20,8,3.452771,72.66,1.960208,22.675804,1.348680,41.026667
both,non_symmetric,1.0,1.0,softmax,top50,4,20,9,3.181357,77.79,1.975023,22.842897,0.993322,41.310484
both,non_symmetric,1.0,1.0,softmax,top50,4,20,10,2.921992,81.94,2.005900,22.817211,0.727283,41.391167
both,non_symmetric,1.0,1.0,softmax,top50,4,20,11,2.794065,84.84,2.027488,22.895892,0.507337,41.743958
both,non_symmetric,1.0,1.0,softmax,top50,4,20,12,2.628442,87.77,2.003812,22.610957,0.370256,41.976419
